mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
180,0.2,0.5,5,0.5,1800,14,10,4048.55,289.18,34.34,-26.38,12,18,2,760.28
180,0.35,0.3,0,0.4,900,10,5,136.1,13.61,7.49,-16.57,9,18,1,52.76
180,0.35,0.3,0,0.4,1800,10,4,106.06,10.61,-1.67,-16.57,9,18,1,22.72
180,0.35,0.3,0,0.5,900,10,5,136.1,13.61,7.49,-16.57,9,18,1,52.76
180,0.35,0.3,0,0.5,1800,10,4,106.06,10.61,-1.67,-16.57,9,18,1,22.72
180,0.35,0.3,3,0.4,900,10,5,160.21,16.02,7.49,-16.57,9,18,1,52.76
180,0.35,0.3,3,0.4,1800,10,5,3434.78,343.48,9.5,-16.57,9,18,1,146.51
180,0.35,0.3,3,0.5,900,10,5,160.21,16.02,7.49,-16.57,9,18,1,52.76
180,0.35,0.3,3,0.5,1800,10,5,3434.78,343.48,9.5,-16.57,9,18,1,146.51
180,0.35,0.3,5,0.4,900,10,5,136.1,13.61,7.49,-16.57,9,18,1,52.76
180,0.35,0.3,5,0.4,1800,10,5,3410.67,341.07,9.5,-16.57,9,18,1,122.4
180,0.35,0.3,5,0.5,900,10,5,136.1,13.61,7.49,-16.57,9,18,1,52.76
180,0.35,0.3,5,0.5,1800,10,5,3410.67,341.07,9.5,-16.57,9,18,1,122.4
180,0.35,0.4,0,0.4,900,10,7,435.69,43.57,20.8,-16.57,9,18,1,293.64
